iter	Passed	Remaining
653	36795	19466
654	36847	19407
655	36908	19354
656	36958	19294
657	37020	19241
658	37073	19183
659	37126	19125
660	37184	19070
661	37236	19011
662	37290	18954
663	37341	18895
664	37393	18837
665	37448	18780
666	37504	18723
667	37554	18664
668	37611	18609
669	37665	18551
670	37722	18495
671	37772	18436
672	37825	18378
673	37885	18324
674	37943	18269
675	38002	18214
676	38056	18157
677	38113	18101
678	38171	18045
679	38227	17989
680	38287	17935
681	38338	17876
682	38394	17820
683	38452	17764
684	38507	17707
685	38564	17652
686	38619	17594
687	38672	17537
688	38726	17480
689	38788	17426
690	38844	17370
691	38895	17311
692	38946	17253
693	38999	17195
694	39049	17137
695	39100	17078
696	39158	17022
697	39212	16965
698	39269	16909
699	39323	16852
700	39376	16795
701	39434	16740
702	39484	16681
703	39537	16623
704	39592	16567
705	39645	16509
706	39699	16452
707	39749	16393
708	39801	16336
709	39855	16279
710	39909	16222
711	39964	16165
712	40017	16108
713	40081	16055
714	40133	15997
715	40186	15940
716	40236	15881
717	40289	15824
718	40343	15766
719	40394	15709
720	40449	15652
721	40505	15596
722	40559	15539
723	40613	15482
724	40668	15425
725	40722	15369
726	40778	15312
727	40827	15254
728	40883	15197
729	40937	15141
730	40990	15084
731	41048	15028
732	41106	14973
733	41166	14918
734	41221	14862
735	41274	14805
736	41329	14748
737	41382	14691
738	41440	14635
739	41497	14580
740	41548	14522
741	41606	14467
742	41659	14409
743	41713	14353
744	41766	14295
745	41815	14237
746	41874	14182
747	41928	14125
748	41981	14068
749	42039	14013
750	42095	13957
751	42151	13900
752	42204	13843
753	42256	13786
754	42313	13730
755	42367	13674
756	42428	13619
757	42486	13564
758	42544	13508
759	42601	13453
760	42652	13395
761	42707	13339
762	42762	13282
763	42817	13226
764	42877	13171
765	42931	13114
766	42985	13058
767	43036	13000
768	43090	12943
769	43141	12886
770	43198	12830
771	43251	12773
772	43301	12716
773	43355	12659
774	43406	12601
775	43462	12545
776	43514	12488
777	43565	12431
778	43621	12375
779	43671	12317
780	43728	12261
781	43782	12205
782	43834	12148
783	43887	12091
784	43937	12033
785	43985	11975
786	44042	11919
787	44095	11863
788	44153	11807
789	44205	11750
790	44259	11694
791	44315	11638
792	44366	11581
793	44418	11524
